
python check_exposure_pixel.py 210716B/

 ---------------------------
 All Targets 
 ---------------------------
210716B/
find ./210716B/ |grep 'fit' 
...check exposure time and pixel size of all files...
315
./210716B/barnards/210716B_barnards_0079.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0190.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0072.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0112.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0252.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0183.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0179.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0031.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0150.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0087.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0253.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0216.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0223.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0244.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0152.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0247.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0166.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0140.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0180.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0076.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0008.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0187.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0176.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0182.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0063.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0035.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0002.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0017.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0200.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0246.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0256.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0107.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0154.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0163.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0242.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0122.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0094.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0227.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0188.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0111.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0239.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0014.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0033.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0090.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0026.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0240.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0149.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0205.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0085.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0137.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0040.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0113.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0099.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0046.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0117.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0241.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0162.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0155.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0092.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0142.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0088.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0051.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0115.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0235.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0209.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0210.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0069.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0243.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0095.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0195.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0089.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0132.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0175.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0023.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0067.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0056.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0228.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0237.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0004.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0006.fit 	 1056x1027 	 8S
./210716B/barnards/210716B_barnards_0034.fit 	 1056x1027 	 8S
